pid,New Location
islandora:2140,https://doi.org/10.25314/5e94d820-678e-4d3a-9a97-51fb730d5cf5
islandora:482,https://digital.lib.sfu.ca/soundscapes-collection/vancouver-soundscapes
islandora:10697,https://doi.org/10.48410/zr57-m463
islandora:10706,https://doi.org/10.48410/zr57-m463
islandora:262,https://doi.org/10.25314/19c37dc7-f2ea-417f-b039-47b703c980c1
islandora:10698,https://doi.org/10.48410/zr57-m463
islandora:10711,https://doi.org/10.48410/zr57-m463
sfu:71,https://digital.lib.sfu.ca/islandora/object/pacificherring:1
islandora:382,https://doi.org/10.20383/102.0385
islandora:59,https://doi.org/10.25314/4a7d6724-995a-4768-ac10-216aafd0f7cf
islandora:10721,https://doi.org/10.25314/deaa8c06-69f5-41e0-bcdf-d1573360c8d9
islandora:9047,https://doi.org/10.48410/5sv8-r446
sfu:2709,https://doi.org/10.25314/98aeed01-3c5c-45a3-987c-cb7f73ef4202
islandora:9880,https://digital.lib.sfu.ca/soundscapes-collection/vancouver-soundscapes
islandora:10719,https://doi.org/10.25314/deaa8c06-69f5-41e0-bcdf-d1573360c8d9
islandora:9027,https://doi.org/10.25314/bd59a8ee-6c74-4dc9-b541-3b9e08dc4490
islandora:9028,https://doi.org/10.25314/bd59a8ee-6c74-4dc9-b541-3b9e08dc4490
islandora:10724,https://doi.org/10.25314/deaa8c06-69f5-41e0-bcdf-d1573360c8d9
islandora:10648,https://doi.org/10.25314/e55f116a-a0a3-4504-a274-377803ea0ea0
sfu:1511,https://doi.org/10.25314/20c155da-4fcb-4a3f-9672-f02f8e2e33be
islandora:10713,https://doi.org/10.48410/zr57-m463
islandora:9854,https://doi.org/10.25314/84625f2f-365f-4fb7-b455-a624edb9a7b5
islandora:9108,https://doi.org/10.25314/71358419-06df-4b07-a160-7913737ca28f
islandora:2148,https://doi.org/10.25314/8d3ba467-6e9a-49ff-940a-e448505e32a1
islandora:386,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:9853,https://doi.org/10.25314/84625f2f-365f-4fb7-b455-a624edb9a7b5
sfu:2059,https://doi.org/10.25314/09b73bc7-eba0-48a6-bd38-c7f810f2b360
islandora:9073,https://doi.org/10.25314/ab37e3e1-7537-44ab-85be-b344b935ce93
islandora:10717,https://doi.org/10.25314/deaa8c06-69f5-41e0-bcdf-d1573360c8d9
islandora:10618,https://digital.lib.sfu.ca/soundscapes-collection/vancouver-soundscapes
islandora:387,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:10700,https://doi.org/10.48410/zr57-m463
islandora:10720,https://doi.org/10.25314/deaa8c06-69f5-41e0-bcdf-d1573360c8d9
islandora:385,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:10723,https://doi.org/10.25314/deaa8c06-69f5-41e0-bcdf-d1573360c8d9
islandora:9852,https://doi.org/10.25314/84625f2f-365f-4fb7-b455-a624edb9a7b5
islandora:10691,https://doi.org/10.48410/zr57-m463
islandora:10699,https://doi.org/10.48410/zr57-m463
islandora:384,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:10722,https://doi.org/10.25314/deaa8c06-69f5-41e0-bcdf-d1573360c8d9
islandora:10801,https://doi.org/10.48410/zr57-m463
islandora:10802,https://doi.org/10.48410/zr57-m463
islandora:10806,https://doi.org/10.48410/zr57-m463
sfu:2835,https://doi.org/10.25314/bc040505-a546-45ec-8c54-dc962dd9091c
islandora:446,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
sfu:1455,https://doi.org/10.25314/84625f2f-365f-4fb7-b455-a624edb9a7b5
sfu:2978,https://doi.org/10.25314/7d8efc0a-3943-4738-b7a5-72badb04d765
islandora:10882,https://doi.org/10.25314/88630bdb-0abd-4edd-be14-34166e0e892b
islandora:10832,https://doi.org/10.48410/7k1c-2h90
sfu:72,https://digital.lib.sfu.ca/islandora/object/pacificherring:2
islandora:10890,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
sfu:2991,https://doi.org/10.25314/0645dee2-f6b7-4371-9f3a-60b31ffcd2aa
islandora:9022,https://doi.org/10.25314/bd59a8ee-6c74-4dc9-b541-3b9e08dc4490
sfu:1504,https://doi.org/10.25314/87c2db11-62a2-47a3-b395-3bbf9fb664f8
islandora:9912,https://digital.lib.sfu.ca/islandora/object/soundscapes:1428
islandora:9963,https://digital.lib.sfu.ca/islandora/object/soundscapes:1429
islandora:10013,https://digital.lib.sfu.ca/islandora/object/soundscapes:1430
islandora:10063,https://digital.lib.sfu.ca/islandora/object/soundscapes:1431
islandora:10113,https://digital.lib.sfu.ca/islandora/object/soundscapes:1432
islandora:10163,https://digital.lib.sfu.ca/islandora/object/soundscapes:1433
islandora:10213,https://digital.lib.sfu.ca/islandora/object/soundscapes:1434
islandora:10263,https://digital.lib.sfu.ca/islandora/object/soundscapes:1435
islandora:10313,https://digital.lib.sfu.ca/islandora/object/soundscapes:1436
islandora:10363,https://digital.lib.sfu.ca/islandora/object/soundscapes:1437
islandora:10413,https://digital.lib.sfu.ca/islandora/object/soundscapes:1438
